pop	Y	Mean	stdev	rep_1	rep_2	rep_3
Hwy 27	0.570797239319931	0.5261906068133619	0.0003967364824709673	0.5261911949345405	0.5265870489083074	0.5257935765972378
Hwy 27	0.485946114229498	0.5528411892400572	0.000862423536031541	0.5530373831416947	0.5535886130283226	0.5518975715501544
KBS	0.710813408369785	0.6442935135279404	0.0004781453150271583	0.6437575496163959	0.6446762994750364	0.6444466914923889
KBS	0.654495235787743	0.6478049583039706	0.0008967672889283934	0.648360092418284	0.6482843992763856	0.6467703832172421
KBS	0.64172710891272	0.6508355447168972	0.0033251359273108578	0.648635005008126	0.6546606535899561	0.6492109755526095
KBS	0.662415378181772	0.6819948943868561	0.0002967348540815671	0.6817257192179025	0.6823130851301862	0.6819458788124796
KBS	0.589382620246199	0.6770443172187203	0.001865242843483289	0.674897418327246	0.6782669300899529	0.677968603238962
MacArthur	0.491215391361457	0.5564625657141219	0.0007771814335447982	0.5560517898710909	0.5573589372720089	0.5559769699992655
MacArthur	0.519141769977856	0.5593465464610233	0.000931289379940368	0.5598085180500981	0.559956534267353	0.5582745870656187
MacArthur	0.542402805514537	0.5461336438815353	0.0010637887004531063	0.5459353969793604	0.5472826101892185	0.5451829244760269
MacArthur	0.535222049806444	0.5561133475342394	0.001347587285255743	0.5571454925658547	0.5566057386849396	0.5545888113519236
MacArthur	0.59047518563028	0.5697030834411903	0.000732249080910851	0.5700387000861749	0.5702073687261677	0.5688631815112282
McPhee	0.609204521333905	0.6773305748012787	0.00031785396120168015	0.6773064410771286	0.6776598077289576	0.6770254755977501
McPhee	0.720609139478579	0.6803918936066103	0.0007834178102287402	0.6802858230837814	0.6812229425237686	0.6796669152122812
McPhee	0.685644931910074	0.6758648649545315	0.0007139885522460931	0.6760183727628981	0.6764896138424427	0.6750866082582537
McPhee	0.728769379367518	0.685849710136158	0.001147578885713205	0.6856694100654088	0.6848029537495698	0.6870767665934957
McPhee	0.665326666398639	0.6633681851949329	0.001227940034303365	0.6647817797546963	0.6625657346699395	0.6627570411601629
OCM	0.604994369858044	0.6266682687474848	0.002455371274639259	0.6254523408464242	0.6250581281917102	0.6294943372043201
OCM	0.568405797952113	0.6126323527605241	0.0009615190218323654	0.6137321282916447	0.6119505970109542	0.6122143329789733
OCM	0.637189548652324	0.6561561990096259	0.002560420898051297	0.6546971652309966	0.6546587963898894	0.6591126354079915
OCM	0.603315618681493	0.6267278898975062	0.0011630689738141133	0.6269678075298064	0.6254635713978943	0.6277522907648178
OCM	0.676989854736564	0.6507576988529167	0.0011170916328468786	0.6497300768012284	0.6519467049656353	0.6505963147918863
Tiri	0.61290375099009	0.6278537567321286	0.0016691596412681644	0.6263299978950871	0.6275935240418563	0.6296377482594427
Tiri	0.634188405582745	0.6137304608424219	0.0018431971000254614	0.614019731230822	0.61175973213163	0.6154119191648135
Tiri	0.647423218163868	0.6129034692925447	0.0024088412291970733	0.611300235308374	0.6156735239040327	0.6117366486652274
TT	0.687342509205926	0.6533091044441818	0.0012516554589455551	0.6527093698839825	0.6547477782183291	0.6524701652302337
TT	0.617368186869672	0.6744744282241472	0.0012849428835147207	0.6733902029770311	0.6758937066952119	0.6741393750001982
TT	0.653713449789601	0.6343618630921158	0.0008468023201145043	0.6339499165464897	0.6337998525096226	0.6353358202202354
TT	0.609344695301181	0.6357847620438944	0.0005430898981207482	0.635641731388289	0.6363850526652847	0.6353275020781095
TT	0.623478278232982	0.6259576204892805	0.0009438098828364383	0.6256254620994677	0.6252247946847583	0.6270226046836153
Whitehall	0.649051993113227	0.6739096793126325	0.0014280796615156817	0.6727539722869152	0.6734688731803369	0.6755061924706453
Whitehall	0.562992763639856	0.64405301345661	0.0008984230096373565	0.643055917605573	0.644799581143699	0.644303541620558
Whitehall	0.595554593650996	0.6325499717078555	0.0017002460494752194	0.6322130692211131	0.6310433978276612	0.6343934480747925
Whitehall	0.610635569617385	0.6567257193205368	0.002105493383369226	0.655209846792339	0.6558375388676003	0.6591297723016709
Whitehall	0.57124922274432	0.6468395277585615	0.0018060039342075315	0.6451000931568142	0.6487054506908467	0.6467130394280234
