"pos_age","line_age","pos","pop","line","age","lat","region","percent_N","percent_C","C_N"
"113_young","Dalton_2_young",113,"Dalton",2,"young",34.670883,"temperate",1.186,38.358,32.34232715
"114_young","Dalton_2_young",114,"Dalton",2,"young",34.670883,"temperate",1.191,39.62,33.26616289
"115_young","Dalton_2_young",115,"Dalton",2,"young",34.670883,"temperate",1.222,38.988,31.90507365
"116_young","Dalton_4_young",116,"Dalton",4,"young",34.670883,"temperate",1.278,43.22,33.81533646
"117_young","Dalton_4_young",117,"Dalton",4,"young",34.670883,"temperate",1.097,40.771,37.16590702
"118_young","Dalton_4_young",118,"Dalton",4,"young",34.670883,"temperate",1.189,40.332,33.92094197
"119_young","Dalton_6_young",119,"Dalton",6,"young",34.670883,"temperate",1.236,38.937,31.50242718
"120_young","Dalton_6_young",120,"Dalton",6,"young",34.670883,"temperate",1.05,37.272,35.49714286
"121_young","Dalton_6_young",121,"Dalton",6,"young",34.670883,"temperate",1.196,39.696,33.19063545
"122_young","Dalton_8_young",122,"Dalton",8,"young",34.670883,"temperate",1.07,37.233,34.79719626
"123_young","Dalton_8_young",123,"Dalton",8,"young",34.670883,"temperate",1.043,29.939,28.70469799
"124_young","Dalton_8_young",124,"Dalton",8,"young",34.670883,"temperate",1.371,41.819,30.50255288
"125_young","Dalton_9_young",125,"Dalton",9,"young",34.670883,"temperate",1.164,42.076,36.14776632
"126_young","Dalton_9_young",126,"Dalton",9,"young",34.670883,"temperate",1.732,39.915,23.04561201
"127_young","Dalton_9_young",127,"Dalton",9,"young",34.670883,"temperate",1.013,34.014,33.5774926
"128_mature","Gav_1_mature",128,"Gav",1,"mature",8.72883,"tropical",2.794,34.524,12.35647817
"129_mature","Gav_1_mature",129,"Gav",1,"mature",8.72883,"tropical",1.507,36.045,23.91838089
"130_mature","Gav_6_mature",130,"Gav",6,"mature",8.72883,"tropical",0.995,25.338,25.46532663
"131_mature","Gav_6_mature",131,"Gav",6,"mature",8.72883,"tropical",1.662,26.02,15.65463297
"132_mature","Gav_22_mature",132,"Gav",22,"mature",8.72883,"tropical",2.827,39.318,13.90802971
"133_mature","Gav_22_mature",133,"Gav",22,"mature",8.72883,"tropical",2.122,37.81,17.81809614
"134_mature","Gav_22_mature",134,"Gav",22,"mature",8.72883,"tropical",2.321,37.738,16.25937096
"135_mature","Gav_23_mature",135,"Gav",23,"mature",8.72883,"tropical",2.039,41.516,20.36096126
"136_mature","Gav_1_mature",136,"Gav",1,"mature",8.72883,"tropical",1.6768,40.8051,24.33510258
"137_mature","Gav_1_mature",137,"Gav",1,"mature",8.72883,"tropical",2.8436,34.7904,12.23463216
"138_mature","Gav_1_mature",138,"Gav",1,"mature",8.72883,"tropical",2.8508,35.5674,12.47628736
"139_mature","Gav_6_mature",139,"Gav",6,"mature",8.72883,"tropical",1.9942,41.8878,21.00481396
"140_mature","Gav_6_mature",140,"Gav",6,"mature",8.72883,"tropical",1.6189,39.9738,24.69195132
"141_mature","Gav_6_mature",141,"Gav",6,"mature",8.72883,"tropical",1.506,37.8541,25.13552457
"142_mature","Gav_23_mature",142,"Gav",23,"mature",8.72883,"tropical",1.8904,39.3014,20.78999154
"143_mature","Gav_23_mature",143,"Gav",23,"mature",8.72883,"tropical",1.4876,38.655,25.98480774
"144_mature","Gav_23_mature",144,"Gav",23,"mature",8.72883,"tropical",1.49,37.6909,25.29590604
"145_young","Gav_1_young",145,"Gav",1,"young",8.72883,"tropical",4.559,42.785,9.384733494
"146_young","Gav_1_young",146,"Gav",1,"young",8.72883,"tropical",3.572,38.646,10.81914894
"147_young","Gav_6_young",147,"Gav",6,"young",8.72883,"tropical",2.653,38.465,14.49868074
