"pos_age","line_age","pos","pop","line","age","lat","region","log.abund","richness","diversity","NMDS1","NMDS2"
"58_mature","Dalton_2_mature",58,"Dalton",2,"mature",34.670883,"temperate",10.1278532097455,880,4.36557711167013,-0.114252499057313,-0.279269615693885
"58_young","Dalton_2_young",58,"Dalton",2,"young",34.670883,"temperate",11.8469509737031,780,4.18502513969237,-0.259780504680363,0.0250923674670577
"158_mature","Dalton_4_mature",158,"Dalton",4,"mature",34.670883,"temperate",10.1880398114757,900,4.25039648652129,-0.184234133198216,-0.275997139064693
"158_young","Dalton_4_young",158,"Dalton",4,"young",34.670883,"temperate",11.0853334824929,684,4.58309918760761,-0.411746692183907,0.0653206025945154
"139_mature","Dalton_6_mature",139,"Dalton",6,"mature",34.670883,"temperate",10.5344575401527,1125,4.29384887387411,-0.13182453665853,-0.453321267178136
"139_young","Dalton_6_young",139,"Dalton",6,"young",34.670883,"temperate",11.1235492520881,836,4.14932225766667,-0.281526439863008,-0.0227563141978356
"93_mature","Dalton_8_mature",93,"Dalton",8,"mature",34.670883,"temperate",10.2605321346554,960,3.9961491542325,-0.0746397213814975,-0.284681124166621
"93_young","Dalton_8_young",93,"Dalton",8,"young",34.670883,"temperate",11.5657709872679,821,4.58416489400083,-0.194744545715731,0.0804084099719237
"10_mature","Dalton_9_mature",10,"Dalton",9,"mature",34.670883,"temperate",9.84497046990394,1018,4.11689566150503,-0.105364528512055,-0.476904336594599
"10_young","Dalton_9_young",10,"Dalton",9,"young",34.670883,"temperate",10.684877265237,997,4.89378003772701,-0.043945925984598,-0.0832504210356628
"3_mature","Gav_1_mature",3,"Gav",1,"mature",8.72883,"tropical",10.0634859945182,998,5.03091585143063,0.285542553295217,-0.173989661088315
"3_young","Gav_1_young",3,"Gav",1,"young",8.72883,"tropical",10.9122904354255,1123,4.82084656147739,0.478813236577031,-0.0377952385654661
"21_mature","Gav_11_mature",21,"Gav",11,"mature",8.72883,"tropical",10.5385329304055,926,3.70204805084066,0.410748290717441,-0.0596894370653343
"21_young","Gav_11_young",21,"Gav",11,"young",8.72883,"tropical",10.7548340487002,1095,4.36483284751648,0.947446695854015,-0.00883613146711521
"136_mature","Gav_2_mature",136,"Gav",2,"mature",8.72883,"tropical",9.84045634873614,830,4.67486886452471,-0.00754988288928807,0.13502744282334
"136_young","Gav_2_young",136,"Gav",2,"young",8.72883,"tropical",10.3800612437764,914,4.61259690763105,0.62391397552868,0.161204372713829
"91_mature","Gav_23_mature",91,"Gav",23,"mature",8.72883,"tropical",10.0710174583819,646,4.37791380488366,0.0607924196762266,0.45158557795281
"91_young","Gav_23_young",91,"Gav",23,"young",8.72883,"tropical",10.2888413728534,865,4.65555851677462,0.549616999291383,0.271593103591881
"156_mature","Gav_6_mature",156,"Gav",6,"mature",8.72883,"tropical",9.68750925054529,751,4.78727143213049,0.112932995177378,0.341200863531197
"156_young","Gav_6_young",156,"Gav",6,"young",8.72883,"tropical",10.2274611504954,942,4.70091483593118,0.960723887961647,0.200987634158321
"83_mature","Gen Butler_1_mature",83,"Gen Butler",1,"mature",38.675517,"temperate",10.351481822397,823,4.20293657191029,-0.21629731367098,-0.170002675017103
"83_young","Gen Butler_1_young",83,"Gen Butler",1,"young",38.675517,"temperate",11.6079745446069,802,4.52683861427995,-0.229568377243502,0.106475098341005
