"line_age","cupID","pop","line","age","lat","region","surv","log.area","old.log.area"
"Whitehall_18_mature",79,"Whitehall","Whitehall_18","mature",33.895767,"temperate",4,0.570227858763699,0.154071782116046
"MacArthur_5_mature",80,"MacArthur","MacArthur_5","mature",27.177583,"subtropical",4,0.543966464727055,0.148770213860841
"Gen Butler_3_mature",81,"Gen Butler","Gen Butler_3","mature",38.675517,"temperate",5,0.648016839589638,0.1697269679813
"Center Hill_7_mature",82,"Center Hill","Center Hill_7","mature",36.06935,"temperate",3,0.589686039526676,0.157993761632183
"KBS_9_mature",83,"KBS","KBS_9","mature",42.399933,"north temperate",5,0.681301657271473,0.176410240790972
"OCM_10_mature",84,"OCM","OCM_10","mature",32.34554,"temperate",5,0.559230794363196,0.151852992618629
"Dalton_4_mature",85,"Dalton","Dalton_4","mature",34.670883,"temperate",5,0.700338977306702,0.180229877268535
"KBS_2_mature",86,"KBS","KBS_2","mature",42.399933,"north temperate",5,0.782970607756562,0.196791959054047
"Center Hill_3_mature",87,"Center Hill","Center Hill_3","mature",36.06935,"temperate",5,0.703096523155546,0.180783000438272
"Dalton_8_mature",88,"Dalton","Dalton_8","mature",34.670883,"temperate",4,0.714389233076175,0.183047791871404
"McPhee_8_mature",89,"McPhee","McPhee_8","mature",40.971333,"north temperate",4,0.665149593858414,0.173167936992235
"OCM_17_mature",90,"OCM","OCM_17","mature",32.34554,"temperate",4,0.634610508832864,0.1670329507035
"With_43_mature",91,"With","With_43","mature",28.60387,"subtropical",5,0.691681405714225,0.178493057221089
"Bella_2_mature",92,"Bella","Bella_2","mature",8.79,"tropical",4,0.645159441727251,0.169152884671567
"HV_3_mature",93,"HV","HV_3","mature",37.1818,"temperate",5,0.741198393588382,0.188422378265757
"Whitehall_16_mature",94,"Whitehall","Whitehall_16","mature",33.895767,"temperate",4,0.636173107290974,0.167347028341877
"Bella_3_mature",95,"Bella","Bella_3","mature",8.79,"tropical",4,0.6004693269752,0.160165294957375
"HV_10_mature",96,"HV","HV_10","mature",37.1818,"temperate",4,0.626490349780038,0.165400500084731
"McPhee_7_mature",97,"McPhee","McPhee_7","mature",40.971333,"north temperate",1,0.6004693269752,0.160165294957375
"MacArthur_15_mature",98,"MacArthur","MacArthur_15","mature",27.177583,"subtropical",3,0.403323253092262,0.12009386539504
"TT_7_mature",99,"TT","TT_7","mature",30.673889,"temperate",4,0.598385806541204,0.159745816399695
"KBS_8_mature",100,"KBS","KBS_8","mature",42.399933,"north temperate",5,0.683447706393704,0.176840917629905
"OCM_18_mature",101,"OCM","OCM_18","mature",32.34554,"temperate",5,0.640747011331724,0.16826625854841
"Caesar_7_mature",102,"Caesar","Caesar_7","mature",39.4887,"north temperate",4,0.680214656100692,0.176192087796952
"Gav_23_mature",103,"Gav","Gav_23","mature",8.72883,"tropical",5,0.65753271555448,0.171638395602346
"Hwy 27_6_mature",104,"Hwy 27","Hwy 27_6","mature",26.537067,"subtropical",3,0.482250948546446,0.136260331454295
"HV_5_mature",105,"HV","HV_5","mature",37.1818,"temperate",4,0.587413084367337,0.157535866666727
"TT_25_mature",106,"TT","TT_25","mature",30.673889,"temperate",5,0.686599239730858,0.177473333357232
"With_46_mature",107,"With","With_46","mature",28.60387,"subtropical",4,0.537297505622295,0.147422149365344
"With_42_mature",108,"With","With_42","mature",28.60387,"subtropical",5,0.608472571751356,0.161776178778351
"Bella_21_mature",109,"Bella","Bella_21","mature",8.79,"tropical",4,0.547172097291036,0.149417931904688
"Dalton_9_mature",110,"Dalton","Dalton_9","mature",34.670883,"temperate",3,0.564850223007983,0.152986994427015
"Gav_22_mature",111,"Gav","Gav_22","mature",8.72883,"tropical",5,0.624801043590217,0.165060817254671
"Tiri_12_mature",112,"Tiri","Tiri_12","mature",10.41549,"tropical",4,0.639240896449598,0.167963588482561
"Hwy 27_1_mature",113,"Hwy 27","Hwy 27_1","mature",26.537067,"subtropical",4,0.594111593709345,0.158885134355498
"Whitehall_3_mature",114,"Whitehall","Whitehall_3","mature",33.895767,"temperate",5,0.645159441727251,0.169152884671567
"Gav_1_mature",115,"Gav","Gav_1","mature",8.72883,"tropical",5,0.689673265895927,0.178090145017221
"OCM_5_mature",116,"OCM","OCM_5","mature",32.34554,"temperate",4,0.716039465619448,0.183378705138689
"Bella_13_mature",117,"Bella","Bella_13","mature",8.79,"tropical",5,0.652184077322019,0.170564107238395
"McPhee_6_mature",118,"McPhee","McPhee_6","mature",40.971333,"north temperate",5,0.741866858674447,0.188556355580807
"TT_9_mature",119,"TT","TT_9","mature",30.673889,"temperate",5,0.636173107290974,0.167347028341877
"Gen Butler_7_mature",120,"Gen Butler","Gen Butler_7","mature",38.675517,"temperate",5,0.668790769363589,0.173898988931706
"Gen Butler_1_mature",121,"Gen Butler","Gen Butler_1","mature",38.675517,"temperate",0,0.137996611863776,0.0601299521917627
"Hwy 27_2_mature",122,"Hwy 27","Hwy 27_2","mature",26.537067,"subtropical",4,0.550297572569284,0.150049291340647
"Whitehall_17_mature",123,"Whitehall","Whitehall_17","mature",33.895767,"temperate",4,0.631425460897497,0.16639270429108
"Gen Butler_9_mature",124,"Gen Butler","Gen Butler_9","mature",38.675517,"temperate",5,0.665149593858414,0.173167936992235
"MacArthur_22_mature",125,"MacArthur","MacArthur_22","mature",27.177583,"subtropical",5,0.591918401125005,0.158443420510083
"Tiri_16_mature",126,"Tiri","Tiri_16","mature",10.41549,"tropical",3,0.60251868755415,0.160577851018466
"Caesar_10_mature",127,"Caesar","Caesar_10","mature",39.4887,"north temperate",4,0.587413084367337,0.157535866666727
"OCM_16_mature",128,"OCM","OCM_16","mature",32.34554,"temperate",4,0.610395804934419,0.162163188202238
"MacArthur_16_mature",129,"MacArthur","MacArthur_16","mature",27.177583,"subtropical",4,0.608472571751356,0.161776178778351
"HV_13_mature",130,"HV","HV_13","mature",37.1818,"temperate",5,0.756922930340444,0.191573585770078
"Gav_6_mature",131,"Gav","Gav_6","mature",8.72883,"tropical",2,0.642235194995001,0.168565308037424
"KBS_5_mature",132,"KBS","KBS_5","mature",42.399933,"north temperate",4,0.668790769363589,0.173898988931706
"KBS_12_mature",133,"KBS","KBS_12","mature",42.399933,"north temperate",5,0.633028129121113,0.166714877018625
"MacArthur_21_mature",134,"MacArthur","MacArthur_21","mature",27.177583,"subtropical",2,NA,NA
"With_48_mature",135,"With","With_48","mature",28.60387,"subtropical",4,0.614155712976966,0.162919684726224
"Tiri_5_mature",136,"Tiri","Tiri_5","mature",10.41549,"tropical",4,0.612289895331274,0.162544297790021
"Tiri_1_mature",137,"Tiri","Tiri_1","mature",10.41549,"tropical",5,0.673486333417489,0.174841614764685
"Caesar_9_mature",138,"Caesar","Caesar_9","mature",39.4887,"north temperate",5,0.760419727046406,0.19227424143857
"Hwy 27_8_mature",139,"Hwy 27","Hwy 27_8","mature",26.537067,"subtropical",3,0.567567957622287,0.153535271631648
"Caesar_5_mature",140,"Caesar","Caesar_5","mature",39.4887,"north temperate",4,0.679118119375663,0.175972014403855
"TT_10_mature",141,"TT","TT_10","mature",30.673889,"temperate",3,0.755735250386444,0.19133560115362
"Tiri_22_mature",142,"Tiri","Tiri_22","mature",10.41549,"tropical",5,0.734309446387846,0.187041568460861
"McPhee_2_mature",143,"McPhee","McPhee_2","mature",40.971333,"north temperate",4,0.791770667128386,0.198554563489555
"With_47_mature",144,"With","With_47","mature",28.60387,"subtropical",4,0.575383653815745,0.155111450252971
"Center Hill_2_mature",145,"Center Hill","Center Hill_2","mature",36.06935,"temperate",5,0.762132113860869,0.192617340485126
"Dalton_2_mature",146,"Dalton","Dalton_2","mature",34.670883,"temperate",5,0.687632337606009,0.177680632768855
"Center Hill_8_mature",147,"Center Hill","Center Hill_8","mature",36.06935,"temperate",4,0.740526334509465,0.188287679083579
"Dalton_6_mature",148,"Dalton","Dalton_6","mature",34.670883,"temperate",5,0.788600161374015,0.197919549277695
"TT_5_mature",149,"TT","TT_5","mature",30.673889,"temperate",4,0.704901660797716,0.18114506534426
"Hwy 27_3_mature",150,"Hwy 27","Hwy 27_3","mature",26.537067,"subtropical",4,0.681301657271473,0.176410240790972
"Bella_4_mature",151,"Bella","Bella_4","mature",8.79,"tropical",5,0.675769585305064,0.175299926101796
"Center Hill_1_mature",152,"Center Hill","Center Hill_1","mature",36.06935,"temperate",5,0.698466227004198,0.179854210542075
"Gen Butler_2_mature",153,"Gen Butler","Gen Butler_2","mature",38.675517,"temperate",5,0.791770667128386,0.198554563489555
"Whitehall_2_mature",154,"Whitehall","Whitehall_2","mature",33.895767,"temperate",4,0.648016839589638,0.1697269679813
"HV_7_mature",155,"HV","HV_7","mature",37.1818,"temperate",3,0.671160598416103,0.174374744302356
"McPhee_1_mature",156,"McPhee","McPhee_1","mature",40.971333,"north temperate",3,0.681301657271473,0.176410240790972
"Whitehall_18_mature",157,"Whitehall","Whitehall_18","mature",33.895767,"temperate",3,0.621352358776154,0.16436728381169
"MacArthur_5_mature",158,"MacArthur","MacArthur_5","mature",27.177583,"subtropical",2,0.526575426323448,0.145253109589752
"Gen Butler_3_mature",159,"Gen Butler","Gen Butler_3","mature",38.675517,"temperate",5,0.686599239730858,0.177473333357232
"Center Hill_7_mature",160,"Center Hill","Center Hill_7","mature",36.06935,"temperate",4,0.567567957622287,0.153535271631648
"KBS_9_mature",161,"KBS","KBS_9","mature",42.399933,"north temperate",5,0.721649525251917,0.184503579324583
"OCM_10_mature",162,"OCM","OCM_10","mature",32.34554,"temperate",3,0.487460903958378,0.137319847946172
"Dalton_4_mature",163,"Dalton","Dalton_4","mature",34.670883,"temperate",5,0.648016839589638,0.1697269679813
"KBS_2_mature",164,"KBS","KBS_2","mature",42.399933,"north temperate",5,0.686599239730858,0.177473333357232
"Center Hill_3_mature",165,"Center Hill","Center Hill_3","mature",36.06935,"temperate",5,0.709303648078614,0.1820279304339
"Dalton_8_mature",166,"Dalton","Dalton_8","mature",34.670883,"temperate",4,0.646596305203227,0.169441574148461
"McPhee_8_mature",167,"McPhee","McPhee_8","mature",40.971333,"north temperate",5,0.743851069304207,0.188954032672677
"OCM_17_mature",168,"OCM","OCM_17","mature",32.34554,"temperate",4,0.547172097291036,0.149417931904688
"With_43_mature",169,"With","With_43","mature",28.60387,"subtropical",4,0.547172097291036,0.149417931904688
"Bella_2_mature",170,"Bella","Bella_2","mature",8.79,"tropical",3,0.575383653815745,0.155111450252971
"HV_3_mature",171,"HV","HV_3","mature",37.1818,"temperate",3,0.689673265895927,0.178090145017221
"Whitehall_16_mature",172,"Whitehall","Whitehall_16","mature",33.895767,"temperate",3,0.585098031943796,0.157069428266169
"Bella_3_mature",173,"Bella","Bella_3","mature",8.79,"tropical",5,0.667588790806968,0.173657672453741
"HV_10_mature",174,"HV","HV_10","mature",37.1818,"temperate",5,0.629801977138373,0.166066325490631
"McPhee_7_mature",175,"McPhee","McPhee_7","mature",40.971333,"north temperate",4,0.667588790806968,0.173657672453741
"MacArthur_15_mature",176,"MacArthur","MacArthur_15","mature",27.177583,"subtropical",4,0.51484661403199,0.142877846615235
"TT_7_mature",177,"TT","TT_7","mature",30.673889,"temperate",4,NA,NA
"KBS_8_mature",178,"KBS","KBS_8","mature",42.399933,"north temperate",4,0.643705869385089,0.16886082254627
"OCM_18_mature",179,"OCM","OCM_18","mature",32.34554,"temperate",4,0.646596305203227,0.169441574148461
"Caesar_7_mature",180,"Caesar","Caesar_7","mature",39.4887,"north temperate",5,0.734309446387846,0.187041568460861
"Gav_23_mature",181,"Gav","Gav_23","mature",8.72883,"tropical",2,NA,NA
"Hwy 27_6_mature",182,"Hwy 27","Hwy 27_6","mature",26.537067,"subtropical",4,0.403323253092262,0.12009386539504
"HV_5_mature",183,"HV","HV_5","mature",37.1818,"temperate",4,0.663911910979787,0.172919424023815
"TT_25_mature",184,"TT","TT_25","mature",30.673889,"temperate",5,0.650810376756387,0.170288163811072
"With_46_mature",185,"With","With_46","mature",28.60387,"subtropical",4,0.51484661403199,0.142877846615235
"With_42_mature",186,"With","With_42","mature",28.60387,"subtropical",5,0.550297572569284,0.150049291340647
"Bella_21_mature",187,"Bella","Bella_21","mature",8.79,"tropical",2,0.487460903958378,0.137319847946172
"Dalton_9_mature",188,"Dalton","Dalton_9","mature",34.670883,"temperate",2,0.438036917458215,0.127234621458195
"Gav_22_mature",189,"Gav","Gav_22","mature",8.72883,"tropical",4,NA,NA
"Tiri_12_mature",190,"Tiri","Tiri_12","mature",10.41549,"tropical",3,0.591918401125005,0.158443420510083
"Hwy 27_1_mature",191,"Hwy 27","Hwy 27_1","mature",26.537067,"subtropical",4,0.636173107290974,0.167347028341877
"Whitehall_3_mature",192,"Whitehall","Whitehall_3","mature",33.895767,"temperate",5,0.623088594232942,0.16471645539925
"Gav_1_mature",193,"Gav","Gav_1","mature",8.72883,"tropical",4,NA,NA
"OCM_5_mature",194,"OCM","OCM_5","mature",32.34554,"temperate",4,0.690681368387241,0.178292412801591
"Bella_13_mature",195,"Bella","Bella_13","mature",8.79,"tropical",5,0.779071595398721,0.196010948158031
"McPhee_6_mature",196,"McPhee","McPhee_6","mature",40.971333,"north temperate",4,0.782489830538371,0.196695656635184
"TT_9_mature",197,"TT","TT_9","mature",30.673889,"temperate",3,0.530252594537345,0.145997229852784
"Gen Butler_7_mature",198,"Gen Butler","Gen Butler_7","mature",38.675517,"temperate",5,0.617805820435883,0.163653960521078
"Gen Butler_1_mature",199,"Gen Butler","Gen Butler_1","mature",38.675517,"temperate",5,0.797880170773792,0.199778159590887
"Hwy 27_2_mature",200,"Hwy 27","Hwy 27_2","mature",26.537067,"subtropical",4,0.497271395987218,0.139312998370225
"Whitehall_17_mature",201,"Whitehall","Whitehall_17","mature",33.895767,"temperate",4,0.640747011331724,0.16826625854841
"Gen Butler_9_mature",202,"Gen Butler","Gen Butler_9","mature",38.675517,"temperate",4,0.720863339364985,0.184345948751457
"MacArthur_22_mature",203,"MacArthur","MacArthur_22","mature",27.177583,"subtropical",3,0.543966464727055,0.148770213860841
"Tiri_16_mature",204,"Tiri","Tiri_16","mature",10.41549,"tropical",2,0.537297505622295,0.147422149365344
"Caesar_10_mature",205,"Caesar","Caesar_10","mature",39.4887,"north temperate",4,0.621352358776154,0.16436728381169
"OCM_16_mature",206,"OCM","OCM_16","mature",32.34554,"temperate",2,0.526575426323448,0.145253109589752
"MacArthur_16_mature",207,"MacArthur","MacArthur_16","mature",27.177583,"subtropical",4,0.640747011331724,0.16826625854841
"HV_13_mature",208,"HV","HV_13","mature",37.1818,"temperate",4,0.715217072595482,0.183213796019002
"Gav_6_mature",209,"Gav","Gav_6","mature",8.72883,"tropical",4,0.497271395987218,0.139312998370225
"KBS_5_mature",210,"KBS","KBS_5","mature",42.399933,"north temperate",4,0.596266968130669,0.159319179062602
"KBS_12_mature",211,"KBS","KBS_12","mature",42.399933,"north temperate",2,0.482250948546446,0.136260331454295
"MacArthur_21_mature",212,"MacArthur","MacArthur_21","mature",27.177583,"subtropical",3,0.51484661403199,0.142877846615235
"With_48_mature",213,"With","With_48","mature",28.60387,"subtropical",3,0.553346801651284,0.15066509815273
"Tiri_5_mature",214,"Tiri","Tiri_5","mature",10.41549,"tropical",4,0.645159441727251,0.169152884671567
"Tiri_1_mature",215,"Tiri","Tiri_1","mature",10.41549,"tropical",4,0.628157130014255,0.165735629339528
"Caesar_9_mature",216,"Caesar","Caesar_9","mature",39.4887,"north temperate",4,0.612289895331274,0.162544297790021
"Hwy 27_8_mature",217,"Hwy 27","Hwy 27_8","mature",26.537067,"subtropical",4,0.587413084367337,0.157535866666727
"Caesar_5_mature",218,"Caesar","Caesar_5","mature",39.4887,"north temperate",5,0.649421411860519,0.170009140566921
"TT_10_mature",219,"TT","TT_10","mature",30.673889,"temperate",2,0.51484661403199,0.142877846615235
"Tiri_22_mature",220,"Tiri","Tiri_22","mature",10.41549,"tropical",4,0.60251868755415,0.160577851018466
"McPhee_2_mature",221,"McPhee","McPhee_2","mature",40.971333,"north temperate",2,0.537297505622295,0.147422149365344
"With_47_mature",222,"With","With_47","mature",28.60387,"subtropical",1,0.201983400024875,0.0763042919742331
"Center Hill_2_mature",223,"Center Hill","Center Hill_2","mature",36.06935,"temperate",4,0.575383653815745,0.155111450252971
"Dalton_2_mature",224,"Dalton","Dalton_2","mature",34.670883,"temperate",3,0.589686039526676,0.157993761632183
"Center Hill_8_mature",225,"Center Hill","Center Hill_8","mature",36.06935,"temperate",5,0.621352358776154,0.16436728381169
"Dalton_6_mature",226,"Dalton","Dalton_6","mature",34.670883,"temperate",3,0.591918401125005,0.158443420510083
"TT_5_mature",227,"TT","TT_5","mature",30.673889,"temperate",4,0.550297572569284,0.150049291340647
"Hwy 27_3_mature",228,"Hwy 27","Hwy 27_3","mature",26.537067,"subtropical",3,0.562072084005125,0.152426422772174
"Bella_4_mature",229,"Bella","Bella_4","mature",8.79,"tropical",5,0.606519284958356,0.161383083975298
"Center Hill_1_mature",230,"Center Hill","Center Hill_1","mature",36.06935,"temperate",1,0.51067900585235,0.14203314884745
"Gen Butler_2_mature",231,"Gen Butler","Gen Butler_2","mature",38.675517,"temperate",4,0.598385806541204,0.159745816399695
"Whitehall_2_mature",232,"Whitehall","Whitehall_2","mature",33.895767,"temperate",4,0.570227858763699,0.154071782116046
"HV_7_mature",233,"HV","HV_7","mature",37.1818,"temperate",3,0.553346801651284,0.15066509815273
"McPhee_1_mature",234,"McPhee","McPhee_1","mature",40.971333,"north temperate",3,0.547172097291036,0.149417931904688
"Whitehall_18_mature",235,"Whitehall","Whitehall_18","mature",33.895767,"temperate",3,0.572832336628249,0.154597020344272
"MacArthur_5_mature",236,"MacArthur","MacArthur_5","mature",27.177583,"subtropical",4,0.577883937140472,0.155615507713723
"Gen Butler_3_mature",237,"Gen Butler","Gen Butler_3","mature",38.675517,"temperate",5,0.699406109316345,0.180042749526113
"Center Hill_7_mature",238,"Center Hill","Center Hill_7","mature",36.06935,"temperate",4,0.612289895331274,0.162544297790021
"KBS_9_mature",239,"KBS","KBS_9","mature",42.399933,"north temperate",5,0.66637514192005,0.173414003907925
"OCM_10_mature",240,"OCM","OCM_10","mature",32.34554,"temperate",5,0.646596305203227,0.169441574148461
"Dalton_4_mature",241,"Dalton","Dalton_4","mature",34.670883,"temperate",3,0.678011878316266,0.175749986500664
"KBS_2_mature",242,"KBS","KBS_2","mature",42.399933,"north temperate",3,0.711021935419605,0.182372527727185
"Center Hill_3_mature",243,"Center Hill","Center Hill_3","mature",36.06935,"temperate",5,0.745804274725436,0.189345482805288
"Dalton_8_mature",244,"Dalton","Dalton_8","mature",34.670883,"temperate",2,0.604534990352816,0.160983709357325
"McPhee_8_mature",245,"McPhee","McPhee_8","mature",40.971333,"north temperate",5,0.770358910580228,0.194265570456653
"OCM_17_mature",246,"OCM","OCM_17","mature",32.34554,"temperate",4,0.663911910979787,0.172919424023815
"With_43_mature",247,"With","With_43","mature",28.60387,"subtropical",5,0.623088594232942,0.16471645539925
