"pos","pop","line","lat","region","onto.1","onto.2"
113,"MacArthur",15,27.177583,"subtropical",0.116705713996071,0.269652403554259
66,"MacArthur",16,27.177583,"subtropical",0.0629032855943029,0.00993491094701146
13,"MacArthur",21,27.177583,"subtropical",0.215393903398934,0.173370391965559
23,"MacArthur",22,27.177583,"subtropical",0.256693366754286,0.195053833008073
119,"MacArthur",5,27.177583,"subtropical",0.0692004545022279,0.0832974228346436
46,"McPhee",1,40.971333,"north temperate",0.301125280685612,0.320660285921187
12,"McPhee",2,40.971333,"north temperate",0.0648620435246346,0.247546455941276
36,"McPhee",6,40.971333,"north temperate",0.0649810095701708,0.0238447662831087
1,"McPhee",7,40.971333,"north temperate",0.201222296163036,0.32899562664421
133,"McPhee",8,40.971333,"north temperate",0.141214400192712,0.241180513830452
122,"OCM",10,32.34554,"temperate",0.181748945969014,0.362899040150374
6,"OCM",16,32.34554,"temperate",0.000245674992722211,0.086729803974339
121,"OCM",17,32.34554,"temperate",0.285913319337022,0.452971363077336
85,"OCM",18,32.34554,"temperate",0.0722853810955604,0.380108764945191
155,"OCM",5,32.34554,"temperate",0.15630570902645,0.373144687853296
134,"Tiri",1,10.41549,"tropical",0.381795657514802,0.499717276696339
107,"Tiri",12,10.41549,"tropical",0.553783488597386,0.140574673891167
153,"Tiri",16,10.41549,"tropical",0.44880221652318,0.00129147096821218
27,"Tiri",19,10.41549,"tropical",0.493382185693073,0.0893800457723929
116,"Tiri",2,10.41549,"tropical",0.619579468729038,0.00891090767684125
18,"Tiri",5,10.41549,"tropical",0.4363013350075,0.160280901120866
28,"TT",10,30.673889,"temperate",0.0780967307806149,0.172285800055044
39,"TT",25,30.673889,"temperate",0.0598233400436103,0.150376312551119
126,"TT",5,30.673889,"temperate",0.333839357761831,0.434484150994494
150,"TT",7,30.673889,"temperate",0.109110871258153,0.42360550693284
14,"TT",9,30.673889,"temperate",0.0124426858896881,0.212966827644208
159,"Whitehall",16,33.895767,"temperate",0.210424872262471,0.477872295584336
108,"Whitehall",17,33.895767,"temperate",0.126403241753687,0.360282505085251
5,"Whitehall",18,33.895767,"temperate",0.193448966495828,0.60803556741262
49,"Whitehall",2,33.895767,"temperate",0.303601088349749,0.354966318036272
123,"Whitehall",3,33.895767,"temperate",0.148042204562497,0.00720906171099257
44,"With",42,28.60387,"subtropical",0.188675312711259,0.365272691229467
2,"With",43,28.60387,"subtropical",0.301874419073355,0.146699096886996
102,"With",46,28.60387,"subtropical",0.0121996509823646,0.258093259689112
87,"With",47,28.60387,"subtropical",0.149851168462973,0.498084086667087
47,"With",48,28.60387,"subtropical",0.0534322158549396,0.286446554688987
