date,cupID,rep,mass_mg
5/3/17,78,C,0.602
5/3/17,78,B,0.664
5/3/17,78,A,2.868
5/3/17,79,D,0.240
5/3/17,79,A,0.494
5/3/17,79,C,0.978
5/3/17,79,B,1.900
5/3/17,80,A,0.078
5/3/17,80,D,1.526
5/3/17,80,C,1.532
5/3/17,80,B,2.676
5/3/17,81,C,1.194
5/3/17,81,B,1.340
5/3/17,81,D,1.708
5/3/17,81,E,3.518
5/3/17,81,A,6.542
5/3/17,82,A,0.226
4/30/17,82,A,0.710
5/3/17,82,B,3.202
4/30/17,83,E,0.184
4/30/17,83,D,6.558
4/30/17,83,C,6.580
4/30/17,83,B,10.348
4/30/17,83,A,23.388
4/30/17,84,B,0.078
4/30/17,84,C,0.602
4/30/17,84,A,1.100
4/30/17,84,D,1.212
4/30/17,84,E,NA
4/30/17,85,B,1.574
4/30/17,85,E,3.330
4/30/17,85,A,4.868
4/30/17,85,D,6.116
4/30/17,85,C,8.956
4/30/17,86,E,9.138
4/30/17,86,C,9.408
4/30/17,86,B,19.580
4/30/17,86,D,24.742
4/30/17,86,A,34.712
4/30/17,87,E,1.920
4/30/17,87,B,2.148
4/30/17,87,D,3.740
4/30/17,87,A,4.492
4/30/17,87,C,6.240
4/30/17,88,D,2.508
4/30/17,88,C,14.164
4/30/17,88,B,15.656
4/30/17,88,A,16.230
4/30/17,89,D,0.528
4/30/17,89,A,2.738
4/30/17,89,B,2.760
4/30/17,89,C,5.570
4/30/17,90,B,1.626
4/30/17,90,A,2.168
4/30/17,90,D,2.388
4/30/17,90,C,3.020
4/30/17,91,D,3.398
4/30/17,91,C,6.582
4/30/17,91,A,8.190
4/30/17,91,B,10.200
4/30/17,92,D,2.580
4/30/17,92,C,3.044
4/30/17,92,B,5.304
4/30/17,92,A,10.174
4/30/17,93,A,10.018
4/30/17,93,D,11.886
4/30/17,93,E,16.788
4/30/17,93,B,28.841
4/30/17,93,C,43.788
4/30/17,94,A,0.712
4/30/17,94,D,1.412
4/30/17,94,B,1.430
4/30/17,94,C,1.846
4/30/17,95,D,0.274
4/30/17,95,C,0.366
4/30/17,95,A,1.138
4/30/17,95,B,6.030
4/30/17,96,D,0.566
4/30/17,96,A,0.690
4/30/17,96,B,2.798
4/30/17,96,C,5.080
4/30/17,97,A,0.694
4/30/17,98,A,0.154
4/30/17,98,B,1.408
4/30/17,98,C,NA
4/30/17,99,A,0.560
4/30/17,99,D,1.028
4/30/17,99,C,1.038
4/30/17,99,B,1.218
4/30/17,100,C,0.644
4/30/17,100,B,0.988
4/30/17,100,A,1.162
4/30/17,100,D,1.184
4/30/17,100,E,5.528
4/30/17,101,B,1.242
4/30/17,101,E,2.180
4/30/17,101,A,3.386
4/30/17,101,D,7.052
4/30/17,101,C,9.580
5/6/17,102,B,3.822
5/6/17,102,D,6.440
5/6/17,102,C,6.492
5/6/17,102,A,7.650
5/6/17,103,A,0.814
5/6/17,103,B,3.610
5/6/17,103,D,5.738
5/6/17,103,C,5.812
5/6/17,103,E,8.488
5/6/17,104,C,0.218
5/6/17,104,B,2.204
5/6/17,104,A,3.462
4/27/17,105,A,5.530
4/27/17,105,C,6.924
4/27/17,105,B,7.662
4/27/17,105,D,10.384
4/27/17,106,C,2.244
4/27/17,106,A,4.838
4/27/17,106,E,9.390
4/27/17,106,D,9.900
4/27/17,106,B,15.344
4/27/17,107,A,0.866
4/27/17,107,B,1.804
4/27/17,107,D,2.006
4/27/17,107,C,3.382
4/27/17,108,C,1.024
4/27/17,108,B,1.622
4/27/17,108,E,3.164
4/27/17,108,A,4.264
4/27/17,108,D,5.470
4/27/17,109,A,0.430
4/27/17,109,B,1.146
4/27/17,109,C,1.760
4/27/17,109,D,2.776
4/27/17,110,B,1.520
4/27/17,110,C,2.288
4/27/17,110,A,3.688
4/27/17,111,B,3.418
4/27/17,111,D,4.226
4/27/17,111,E,5.120
4/27/17,111,C,5.550
4/27/17,111,A,7.578
4/27/17,112,D,2.442
4/27/17,112,A,4.138
4/27/17,112,B,4.940
4/27/17,112,C,9.088
4/27/17,113,B,2.748
4/27/17,113,C,3.314
4/27/17,113,A,4.848
4/27/17,113,D,7.438
4/27/17,114,B,5.240
4/27/17,114,C,5.522
4/27/17,114,D,6.584
4/27/17,114,E,7.746
4/27/17,114,A,8.696
4/27/17,115,D,3.424
4/27/17,115,A,6.072
4/27/17,115,E,7.190
4/27/17,115,B,8.442
4/27/17,115,C,8.834
4/27/17,116,B,1.726
4/27/17,116,C,4.116
4/27/17,116,D,6.184
4/27/17,116,A,6.630
4/27/17,117,B,3.390
4/27/17,117,C,5.942
4/27/17,117,A,8.004
4/27/17,117,E,11.036
4/27/17,117,D,12.418
4/27/17,118,B,6.358
4/27/17,118,C,14.348
4/27/17,118,E,16.858
4/27/17,118,D,25.380
4/27/17,118,A,30.584
4/27/17,119,B,0.990
4/27/17,119,A,3.806
4/27/17,119,C,3.966
4/27/17,119,E,6.684
4/27/17,119,D,11.016
4/27/17,120,D,1.956
4/27/17,120,A,2.332
4/27/17,120,B,3.938
4/27/17,120,E,5.494
4/27/17,120,C,5.858
4/30/17,122,D,1.436
4/30/17,122,A,2.344
4/30/17,122,B,3.228
4/30/17,122,C,4.312
4/30/17,123,D,1.502
4/30/17,123,C,5.746
4/30/17,123,A,7.524
4/30/17,123,B,12.762
4/30/17,124,C,3.098
4/30/17,124,D,6.222
4/30/17,124,A,8.270
4/30/17,124,B,9.750
4/30/17,124,E,11.032
4/30/17,125,B,2.144
4/30/17,125,C,2.184
4/30/17,125,D,2.432
4/30/17,125,E,2.588
4/30/17,125,A,5.080
4/30/17,126,C,6.476
4/30/17,126,A,8.254
4/30/17,126,B,11.432
4/30/17,127,A,0.336
4/30/17,127,C,3.874
4/30/17,127,B,4.168
4/30/17,127,D,12.504
4/30/17,128,B,3.754
4/30/17,128,C,6.322
4/30/17,128,D,7.040
4/30/17,128,A,10.174
4/30/17,129,B,2.812
4/30/17,129,D,3.530
4/30/17,129,C,4.250
4/30/17,129,A,7.438
4/30/17,130,B,9.080
4/30/17,130,E,13.700
4/30/17,130,A,15.388
4/30/17,130,C,16.580
4/30/17,130,D,19.332
4/25/17,131,A,6.682
4/25/17,131,B,8.054
4/25/17,132,C,1.284
4/25/17,132,B,4.948
4/25/17,132,D,6.106
4/25/17,132,A,9.332
4/25/17,133,E,2.042
4/25/17,133,B,2.320
4/25/17,133,A,2.516
4/25/17,133,D,2.888
4/25/17,133,C,4.508
4/25/17,134,A,0.682
4/25/17,134,B,0.790
4/25/17,135,C,2.996
4/25/17,135,D,3.000
4/25/17,135,B,4.026
4/25/17,135,A,10.994
4/25/17,136,D,3.418
4/25/17,136,A,4.586
4/25/17,136,C,5.238
4/25/17,136,B,7.590
4/25/17,137,E,2.024
4/25/17,137,B,2.618
4/25/17,137,A,6.934
4/25/17,137,D,7.104
4/25/17,137,C,7.286
4/25/17,138,C,5.980
4/25/17,138,E,14.064
4/25/17,138,D,14.754
4/25/17,138,A,18.050
4/25/17,138,B,20.358
4/25/17,139,C,2.194
4/25/17,139,B,2.482
4/25/17,139,A,9.078
4/25/17,140,B,3.176
4/25/17,140,D,12.566
4/25/17,140,C,13.820
4/25/17,140,A,14.310
4/25/17,141,A,12.680
4/25/17,141,C,17.006
4/25/17,141,B,30.576
4/25/17,142,A,0.520
4/25/17,142,C,3.250
4/25/17,142,D,10.152
4/25/17,142,B,16.348
4/25/17,142,E,19.886
4/25/17,143,D,15.546
4/25/17,143,B,19.434
4/25/17,143,C,21.660
4/25/17,143,A,30.726
4/25/17,144,A,0.618
4/25/17,144,C,2.474
4/25/17,144,B,3.600
4/25/17,144,D,4.332
4/25/17,145,C,2.700
4/25/17,145,D,4.020
4/25/17,145,A,6.032
4/25/17,145,B,6.520
4/25/17,145,E,25.586
5/12,146,D,2.748
5/12,146,E,5.494
5/12,146,C,8.068
5/12,146,B,8.214
5/12,146,A,10.996
5/12,147,A,6.872
5/12,147,B,14.246
5/12,147,D,16.196
5/12,147,C,18.048
5/12,148,D,14.264
5/12,148,A,16.720
5/12,148,B,17.894
5/12,148,E,20.300
5/12,148,C,32.278
5/12,149,C,5.060
5/12,149,B,7.284
5/12,149,A,7.570
5/12,149,D,12.766
5/12,150,C,0.554
5/12,150,B,4.894
5/12,150,D,6.202
5/12,150,A,9.116
5/12,151,A,3.308
5/12,151,C,3.842
5/12,151,B,9.500
5/12,151,E,9.822
5/12,151,D,16.052
5/12,152,A,3.374
5/12,152,D,3.998
5/12,152,B,6.694
5/12,152,E,8.996
5/12,152,C,10.554
5/12,153,D,4.492
5/12,153,C,8.340
5/12,153,A,20.714
5/12,153,B,21.554
5/12,153,E,21.866
5/12,154,C,5.890
5/12,154,B,6.142
5/12,154,A,7.026
5/12,154,D,7.068
5/12,155,B,2.528
5/12,155,A,18.926
5/12,155,C,19.240
5/12,156,A,6.200
5/12,156,B,6.294
5/12,156,C,8.386
5/6/17,157,C,7.602
5/6/17,157,A,8.384
5/6/17,157,B,9.632
5/6/17,158,A,3.638
5/6/17,158,B,4.214
5/6/17,159,A,2.424
5/6/17,159,C,7.878
5/6/17,159,B,8.840
5/6/17,159,E,9.846
5/6/17,159,D,10.344
5/6/17,160,A,1.280
5/6/17,160,D,1.590
5/6/17,160,C,3.552
5/6/17,160,B,6.802
5/6/17,161,C,6.872
5/6/17,161,B,8.850
5/6/17,161,D,11.814
5/6/17,161,E,11.93
5/6/17,161,A,35.968
5/6/17,162,C,1.262
5/6/17,162,A,1.512
5/6/17,162,B,2.956
5/6/17,163,E,3.258
5/6/17,163,D,3.754
5/6/17,163,A,5.08
5/6/17,163,C,7.398
5/6/17,163,B,9.456
5/6/17,164,D,0.262
5/6/17,164,B,5.44
5/6/17,164,A,14.424
5/6/17,164,E,14.892
5/6/17,164,C,32.566
5/6/17,165,E,8.054
5/6/17,165,D,9.626
5/6/17,165,C,9.734
5/6/17,165,B,11.128
5/6/17,165,A,11.652
5/6/17,166,D,3.798
5/6/17,166,C,8.606
5/6/17,166,B,9.174
5/6/17,166,A,21.836
5/6/17,167,E,4.986
5/6/17,167,A,7.356
5/6/17,167,B,15.292
5/6/17,167,D,19.736
5/6/17,167,C,31.424
5/2/17,168,B,0.980
5/6/17,168,A,1.028
5/6/17,168,B,2.338
5/2/17,168,A,2.360
5/2/17,169,B,0.614
5/2/17,169,C,1.444
5/2/17,169,D,2.470
5/2/17,169,A,5.462
5/2/17,170,A,3.378
5/2/17,170,C,4.288
5/2/17,170,B,6.722
5/2/17,171,A,7.548
5/2/17,171,C,8.550
5/2/17,171,B,31.896
5/2/17,172,A,4.03
5/2/17,172,C,4.228
5/2/17,172,B,4.99
5/2/17,173,E,3.048
5/2/17,173,D,3.23
5/2/17,173,C,4.35
5/2/17,173,A,5.512
5/2/17,173,B,6.858
5/2/17,174,A,1.852
5/2/17,174,E,2.284
5/2/17,174,C,2.76
5/2/17,174,D,3.044
5/2/17,174,B,3.93
5/2/17,175,A,3.938
5/2/17,175,B,5.826
5/2/17,175,D,6.964
5/2/17,175,C,8.852
5/2/17,176,C,1.17
5/2/17,176,A,1.204
5/2/17,176,B,3.37
5/2/17,176,D,3.56
5/2/17,177,C,6.016
5/2/17,177,A,8.896
5/2/17,177,B,11.238
5/2/17,177,D,14.056
5/2/17,178,D,4.202
5/2/17,178,C,5.322
5/2/17,178,B,5.99
5/2/17,178,A,8.942
5/2/17,179,B,5.3
5/2/17,179,C,5.726
5/2/17,179,D,9.346
5/2/17,179,A,9.428
5/2/17,180,E,10.288
5/2/17,180,D,11.554
5/2/17,180,C,16.892
5/2/17,180,B,33.41
5/2/17,180,A,39.86
5/2/17,181,A,1.64
5/2/17,181,B,3.896
5/2/17,182,B,0.028
5/2/17,182,C,0.408
5/2/17,182,A,1.9
5/12,183,B,1.12
5/12,183,C,8.674
5/12,183,A,9.402
5/12,183,D,11.678
5/12,184,A,3.7
5/12,184,D,6.566
5/12,184,B,6.886
5/12,184,E,8.818
5/12,184,C,9.54
5/12,185,D,0.196
5/12,185,B,0.754
5/12,185,A,2.234
5/12,185,C,2.35
5/12,186,A,1.298
5/12,186,D,1.656
5/12,186,C,1.802
5/12,186,B,2.286
5/12,186,E,2.504
5/12,187,A,0.28
5/12,187,B,4.518
5/12,188,B,0.148
5/12,188,A,3.568
5/12,189,A,3.24
5/12,189,D,3.38
5/12,189,C,7.126
5/12,189,B,7.652
5/12,190,C,3.678
5/12,190,A,7.054
5/12,190,B,8.538
5/12,191,C,4.934
5/12,191,A,5.578
5/12,191,D,8.042
5/12,191,B,8.684
5/12,192,A,4.112
5/12,192,E,4.908
5/12,192,B,5.216
5/12,192,C,5.484
5/12,192,D,5.968
5/12,193,C,7.246
5/12,193,B,7.706
5/12,193,A,9.092
5/12,193,D,15.248
5/12,194,D,7.964
5/12,194,A,10.112
5/12,194,B,10.542
5/12,194,C,14.096
5/12,195,C,19.434
5/12,195,D,19.514
5/12,195,B,26.322
5/12,195,E,34.796
5/12,195,A,35.918
5/12,196,D,11.094
5/12,196,C,17.162
5/12,196,A,39.428
5/12,196,B,59.422
5/12,197,C,0.808
5/12,197,A,6.048
5/12,197,B,7.306
5/12,198,A,1.186
5/12,198,E,2.376
5/12,198,D,3.214
5/12,198,B,4.446
5/12,198,C,6.594
5/12,199,A,13.056
5/12,199,D,14.700
5/12,199,C,22.106
5/12,199,E,27.340
5/12,199,B,32.376
5/12,200,A,0.450
5/12,200,C,1.038
5/12,200,B,1.744
5/12,200,D,4.620
5/12,201,C,4.610
5/12,201,B,9.826
5/12,201,D,11.354
5/12,201,A,13.096
5/12,202,A,12.280
5/12,202,C,13.014
5/12,202,D,16.774
5/12,202,B,21.682
5/12,203,A,2.152
5/12,203,B,2.500
5/12,203,C,4.756
5/12,204,B,3.694
5/12,204,A,8.568
5/12,205,A,1.860
5/12,205,C,2.626
5/12,205,B,6.594
5/12,205,D,12.402
5/12,206,A,1.382
5/12,206,B,6.58
5/12,207,A,3.022
5/12,207,C,3.628
5/12,207,B,5.344
5/12,207,D,9.598
5/12,208,D,7.44
5/12,208,A,8.008
5/12,208,B,11.418
5/12,208,C,13.954
5/3/17,209,B,0.304
5/3/17,209,A,0.362
5/3/17,209,D,0.388
5/3/17,209,C,0.782
5/3/17,210,D,1.036
5/3/17,210,A,1.334
5/3/17,210,C,2.528
5/3/17,210,B,4.528
5/3/17,211,B,0.700
5/3/17,211,A,1.338
5/3/17,212,B,0.454
5/3/17,212,A,0.776
5/3/17,212,C,2.644
5/3/17,213,A,2.850
5/3/17,213,B,4.100
5/3/17,213,C,4.448
5/3/17,214,D,2.774
5/3/17,214,C,3.592
5/3/17,214,B,4.708
5/3/17,214,A,7.014
5/3/17,215,A,2.556
5/3/17,215,C,3.806
5/3/17,215,D,5.410
5/3/17,215,B,8.036
5/3/17,216,B,2.254
5/3/17,216,A,5.306
