pos,pop,line,indiv,mature 1,mature 2,young 1,young 2
230,Whitehall,3,D,330,250,145,110
231,Dalton,4,D,200,230,105,160
233,KBS,5,E,260,220,100,120
234,With,46,F,260,310,130,120
235,HV,3,E,250,195,140,90
236,With,47,F,350,270,120,90
237,Gav,6,F,280,300,110,135
238,Dalton,6,F,270,310,90,90
239,McPhee,2,E,320,240,90,100
240,HV,10,D,285,340,125,150
241,MacArthur,5,E,400,370,140,100
242,Caesar,10,E,340,400,140,175
243,MacArthur,16,D,410,330,100,130
244,KBS,5,F,310,290,90,155
245,Center Hill,8,E,305,370,90,100
246,TT,7,E,360,290,90,140
247,Center Hill,7,F,400,310,175,130
248,Caesar,10,D,250,200,180,100
249,OCM,17,D,270,285,140,115
250,HV,7,D,225,210,130,100
251,With,46,D,320,350,180,140
252,Hwy 27 bulk,1,F,290,330,105,145
253,McPhee,1,E,230,300,100,130
254,Valverde,2,D,290,270,90,130
255,With,46,E,280,340,100,120
257,HV,13,F,305,310,120,100
258,Center Hill,3,F,215,220,90,115
259,TT Bulk,5,E,170,230,130,100
