"","pop","line","lat","age","biomass","surv","area"
"95","McPhee","McPhee_1",40.971333,"mature",0.122931986726089,3.33333333333333,0.166053566965545
"96","McPhee","McPhee_1",40.971333,"young",0.0357290382561113,1.66666666666667,0.180719156783263
"97","McPhee","McPhee_2",40.971333,"mature",0.19925185058172,3.5,0.177250677592989
"98","McPhee","McPhee_2",40.971333,"young",0.114441854229191,2,0.189733765370237
"99","McPhee","McPhee_6",40.971333,"mature",0.301506480228859,4.5,0.184286087482367
"100","McPhee","McPhee_6",40.971333,"young",0.126330524994876,3,0.220692323802873
"101","McPhee","McPhee_7",40.971333,"mature",0.16454769342831,3.25,0.173185657635264
"102","McPhee","McPhee_7",40.971333,"young",0.0628390874354204,2.33333333333333,0.184354023197911
"103","McPhee","McPhee_8",40.971333,"mature",0.263695653348437,4.75,0.185927859806831
"104","McPhee","McPhee_8",40.971333,"young",0.0778786205416603,2.33333333333333,0.209097980938933
"105","OCM","OCM_10",32.34554,"mature",0.131308240442173,3.66666666666667,0.154290341615559
"106","OCM","OCM_10",32.34554,"young",0.024989331908114,1.66666666666667,0.108511100967192
"107","OCM","OCM_16",32.34554,"mature",0.179991488649477,3.75,0.156715304613479
"108","OCM","OCM_16",32.34554,"young",0.0617009260976444,2,0.179605347937783
"109","OCM","OCM_17",32.34554,"mature",0.132304207597415,3.75,0.160726394565913
"110","OCM","OCM_17",32.34554,"young",0.0823386265342034,2.66666666666667,0.202873383822187
"111","OCM","OCM_18",32.34554,"mature",0.2030338563445,4.5,0.167540201939852
"112","OCM","OCM_18",32.34554,"young",0.135479895802857,2.5,0.209016030565649
"113","OCM","OCM_5",32.34554,"mature",0.207836698311158,4.25,0.175542584022224
"114","OCM","OCM_5",32.34554,"young",0.119736985206803,3,0.218289148129925
"115","Tiri","Tiri_1",10.41549,"mature",0.198493312968525,4.25,0.169597015116872
"116","Tiri","Tiri_12",10.41549,"mature",0.162129056146366,3.75,0.162664584910011
"117","Tiri","Tiri_12",10.41549,"young",0.0105369846486851,0.666666666666667,0.135016571461418
"118","Tiri","Tiri_16",10.41549,"mature",0.1301703294856,3.25,0.150826067442805
"119","Tiri","Tiri_16",10.41549,"young",0,0,0.0970687389421029
"120","Tiri","Tiri_22",10.41549,"mature",0.257834334406314,4.5,0.181045942925693
"121","Tiri","Tiri_22",10.41549,"young",0.00688949193380447,0.666666666666667,0.0863193907067618
"122","Tiri","Tiri_5",10.41549,"mature",0.195808898269676,4.5,0.166941029144461
"123","Tiri","Tiri_5",10.41549,"young",0,0,0
"124","TT","TT_10",30.673889,"mature",0.20527128208836,3,0.177579135648491
"125","TT","TT_10",30.673889,"young",0.120248914157355,3,0.21517951554322
"126","TT","TT_25",30.673889,"mature",0.218160144712859,4.75,0.163552877532802
"127","TT","TT_25",30.673889,"young",0.0609233612657485,2,0.184236469361037
"128","TT","TT_5",30.673889,"mature",0.191027980770165,4,0.170855625004486
"129","TT","TT_5",30.673889,"young",0.104907820547961,2.66666666666667,0.211647273074684
"130","TT","TT_7",30.673889,"mature",0.186302102876583,4.5,0.162978329148619
"131","TT","TT_7",30.673889,"young",0.0708762642300966,2,0.197913531927975
"132","TT","TT_9",30.673889,"mature",0.199407593373004,4.25,0.164769881289308
"133","TT","TT_9",30.673889,"young",0.127885702456977,2.66666666666667,0.223600485241924
"134","Whitehall","Whitehall_16",33.895767,"mature",0.126965072245967,3.5,0.162208228304023
"135","Whitehall","Whitehall_16",33.895767,"young",0.0187099802254901,1.66666666666667,0.135187205981317
"136","Whitehall","Whitehall_17",33.895767,"mature",0.203922961339009,4.25,0.169934274234995
"137","Whitehall","Whitehall_17",33.895767,"young",0.126601077233755,2,0.205649022330463
"138","Whitehall","Whitehall_18",33.895767,"mature",0.140359397641421,3.75,0.159172511698272
"139","Whitehall","Whitehall_18",33.895767,"young",0.0514278880195165,1.33333333333333,0.180934627574772
"140","Whitehall","Whitehall_2",33.895767,"mature",0.138749401702488,3.75,0.152592882718461
"141","Whitehall","Whitehall_2",33.895767,"young",0.116251028899808,3,0.214848498289573
"142","Whitehall","Whitehall_3",33.895767,"mature",0.164305881587206,4.25,0.154250043416296
"143","Whitehall","Whitehall_3",33.895767,"young",0.0410712566373554,1.33333333333333,0.158707519523527
"144","With","With_42",28.60387,"mature",0.101951799935347,4,0.143692481916558
"145","With","With_42",28.60387,"young",0.00585720448103991,1.33333333333333,0.109865791469338
"146","With","With_43",28.60387,"mature",0.111534272930446,4,0.141397967272599
"147","With","With_43",28.60387,"young",0.0157210876287628,1,0.139412106282007
"148","With","With_46",28.60387,"mature",0.0692722711139786,3.5,0.139269659538908
"149","With","With_46",28.60387,"young",0.0074655199149737,1.33333333333333,0.0836244299355394
"150","With","With_47",28.60387,"mature",0.126551728910431,3.66666666666667,0.156173860794157
"151","With","With_47",28.60387,"young",0.00795838246179284,0.666666666666667,0.0376811318391274
"152","With","With_48",28.60387,"mature",0.134039670480172,3.5,0.153769678590086
"153","With","With_48",28.60387,"young",0.0152478953933369,2,0.139767373813992
